gene_id	gene_short_name	cell_group	marker_score	mean_expression	fraction_expressing	specificity	pseudo_R2	marker_test_p_value	marker_test_q_value	evalue	LOC	gene_ID
PGEN_.00g067500		1	0.332978419	6.088174849	0.822592593	0.404791414	0.392071809	0.00E+00	0.00E+00	0.6	LOC117681592	uncharacterized LOC117681592
PGEN_.00g274590		1	0.257506956	19.59239749	0.995185185	0.258752803	0.501368004	0	0	0	LOC105329348	tubulin alpha-1A chain
PGEN_.00g233610		1	0.250060908	2.796330264	0.807777778	0.309566461	0.314629516	4.68E-251	2.29E-245	8.06E-173	LOC105343071	tubulin beta chain
PGEN_.00g052920		1	0.234986071	1.965454072	0.821111111	0.2861806	0.33592713	8.98E-269	4.39E-263	7.85E-73	LOC105340746	forkhead box protein J1-B
PGEN_.00g322310		1	0.226686444	2.520906472	0.865185185	0.262009161	0.366794524	1.17E-294	5.72E-289	0	LOC105328679	zinc finger protein castor homolog 1
PGEN_.00g153940		1	0.224917462	1.564032597	0.782222222	0.287536528	0.297491764	6.96E-237	3.40E-231	7.28E-59	LOC105330349	E3 ubiquitin-protein ligase RBBP6
PGEN_.00g201490		1	0.221670963	2.448404606	0.834814815	0.265533096	0.355046104	8.90E-285	4.35E-279	0	LOC105328728	"dynein beta chain, ciliary"
PGEN_.00g036130		1	0.212820266	2.24615041	0.845925926	0.251582626	0.317804868	1.09E-253	5.32E-248	1.27E-45	LOC105335975	"dynein intermediate chain 3, ciliary"
PGEN_.00g114680		1	0.212358183	1.734041134	0.813333333	0.261096127	0.295208103	5.31E-235	2.60E-229	2.23E-26	LOC105330231	kinesin-like protein KIF28P
PGEN_.00g191960		1	0.210715211	2.804320259	0.854814815	0.24650393	0.297944501	2.94E-237	1.44E-231	6.87E-40	LOC105341425	"dynein intermediate chain 2, ciliary"
PGEN_.00g021910		2	0.183232414	0.74326194	0.369401107	0.496025621	0.160659948	1.06E-113	5.21E-108	4.07E-05	LOC105320106	follistatin-related protein 3
